id,name,author,difficulty_avg,gauge,gauge_divisor,gauge_pattern,max_yardage,notes,price,projects_count,queued_projects_count,rating_avg,sizes_available,yarn_weight
990044,Musselburgh,Ysolda Teague,2.46,6.0,1.0,stockinette,610.0,">Our favourite swatchless hat pattern
> just got an update! Musselburgh now
> includes 4 new, finer gauges – perfect
> for fine sock yarns like this merino
> nylon blend from [Weku Yarns][1].

> Already purchased the pattern? Check
> your inbox for the update.
⁠
> Love this pattern? Subscribe to the [Ysolda newsletter][2] >for updates on new releases, more meditative knitting 
>designs, helpful tutorials to grow your skills and lots >more! 

> **Pattern accessibility** 
>There are two versions of this pattern pdf available. Print, and low vision.

**Musselburgh**
The original swatchless hat pattern: a double-layered beanie with 4-point crown shaping. The multi-gauge pattern now includes 9 gauges, for yarn weights between light fingering and DK, and 6 sizes. 

Have a single skein of yarn you're not sure what to do with? Need something simple to keep your hands busy during zoom meetings? Looking for a gift that everyone will appreciate? Want to cast on right away without any prep? Cast on today, no swatching required, and discover for yourself why so many knitters have fallen in love with Musselburgh. 

In what is essentially a three step project you'll start with a centre-out cast-on and increase for the first crown; the next part is a beautifully meditative knit (perfect for those zoom calls!) of stockinette in the round; finally, you will finish off the hat by mirroring the initial shaping with decreases. This simple canvas is perfect for exploring your creativity through yarn choice, stripes or colour blocking. The hat is fully reversible, so working each half in a different colour or stripe sequence can turn it into two completely different hats in one. 

Adventurous beginner looking to grow your skills? See our video [Getting started with Musselburgh][3]. 

**Yarn**
Heavy laceweight to DK weight yarn.
Exact yardage will depend on size, gauge and yarn used.

**Shown in**
Weku Enjoli Merino/Nylon Sock (75% Superwash Merino, 25% Nylon, 425m, 100g) in Enjoli. Adult Medium.

Neighborhood Fiber Co Studio Sock (100% Merino, 400 yds / 366m, 4oz / 114g) in Broadway Market. Adult Large.

Neighborhood Fiber Co Rustic Fingering (100% Merino, 475yds / 434m, 4oz / 114g) in Gwynn Oak. Held with Neighborhood Fiber Co Loft (60% Mohair, 40% silk, 1oz / 28g, 350 yds / 320m) in Gwynn Oak. Child / Adult Small.

Rauma Lamull (100% Norwegian wool, 273 yds / 250m, 50g) in colour 36. Adult Medium.

The Uncommon Thread Tough Sock (80% BFL, 20% nylon, 400yds / 366m, 100g) in Dartmoor. Adult Medium.

**Needles**
Dpns or circulars for your preferred method of working small circumferences in the round
16"" / 40cm circular (for sizes above baby)
Choose a size based on your knowledge of your personal tension and the recommended needle size for your yarn. If using sock yarn use a needle a couple of sizes larger than you would use for socks.

**Notions**
Stitch markers

**Gauge**
Pattern includes directions for gauges of 9, 8.5, 8, 7.5, 7, 6.5, 6, 5.5 and 5 stitches per inch / 2.5cm

Directions are given for measuring the gauge while working the hat, but if you prefer to swatch do so in the round

**Low vision details:** 
* The main text is black 24pt sans serif and all text is black on a white background.
* No italics are used
* The directions are in written form in LV pdf
* Images have alt text

**Screen readers:**
The low vision version is tagged to work with screen reading software and have been tested. Images have alt text. Abbreviations are used in the directions, they are defined but may be read aloud oddly. If this is something you use we’d love your feedback on how we could improve the pattern formatting for screen readers.


  [1]: https://www.wekuyarn.com/shop/fingering/enjoli-green/
  [2]: https://ysolda.com/pages/subscribe
  [3]: https://www.youtube.com/watch?v=i2zD6EW-TU8",6.0,23656,7700,4.89,baby to adult x-large,Fingering
899479,Classic Ribbed Hat,Purl Soho,1.92,32.0,4.0,1x1 Rib,305.0,"MATERIALS
Purl Soho’s [Cashmere Merino Bloom][2], 75% extra fine merino and 25% cashmere. Each skein is 218 yards/ 100 grams.

Solid Color Version

- Color A: 1 (1, 1, 1, 2) skein(s); approximately 110 (140, 180, 215, 260) yards required.
- For our Baby samples, we used Vintage Jade, Wheat Flour, and True Turquoise; for Kid samples, we used Hydrangea Blossom, Fresh Fig, and Warm Honey; for Adult Small, we used Crocus Bud and Golden Green; for Adult Medium, we used Red Poppy and Conch Shell; and for Adult Large, we used Night Blue.

Thin Stripe Version

- Color A: 1 skein; approximately 55 (70, 95, 110, 135) yards required
- Color B: 1 skein; approximately 55 (70, 95, 110, 135) yards required
- For an Adult Small sample, we used Red Poppy and Heirloom White.

Thick Stripe Version

- Color A: 1 skein; approximately 65 (85, 115, 130, 160) yards required
- Color B: 1 skein; approximately 60 (75, 100, 120, 145) yards required
- For another Adult Small sample, we used Rosebud Pink and Icicle Blue.

Two Colorblocks Version

- Color A: 1 skein; approximately 90 (110, 145, 175, 210) yards required
- Color B: 1 skein; approximately 20 (30, 35, 45, 50) yards required
- For an Adult Medium sample, we used High Tide and Hydrangea Blossom.

Three Colorblocks Version

- Color A: 1 skein; approximately 70 (90, 115, 140, 165) yards required
- Color B: 1 skein; approximately 40 (50, 65, 75, 90) yards required
- For another Adult Medium sample, we used Night Blue and Reed Gray.

You’ll also need . . .

- US 3 (3.25 mm), 16-inch [circular needles][3], for Adult sizes
- A set of US 3 [double pointed needles][4], for all sizes
- [Stitch markers][5], including one unique

Another option is to pick up a [Classic Ribbed Hat Bundle][6]! It includes 2 skeins of Cashmere Merino Bloom in two different colors. One bundle makes 1-3 Classic Ribbed Hats, depending on the size and style (see yardage recommendations above to make your calculations!).

GAUGE
32 stitches and 33 rows = 4 inches in 1×1 rib unstretched

SIZES
Baby (Kid, Adult Small, Adult Medium, Adult Large)

- Finished Circumference (unstretched): 10½ (12, 13½, 15, 16½) inches, comfortably stretching to approximately 13–16 (15–18, 17–20, 19–23, 21–25) inches
- Finished Height (uncuffed): Approximately 7¾ (9, 10¼, 11¼, 12¼) inches (Striped versions may be slightly longer than solid and colorblock versions.)

(NOTE: The hats shown on the light green background are sizes Baby in Wheat Flour, Kid in Warm Honey, and Adult Medium in Conch Shell; click [here][7] for that post. The colors used for our original samples, shown on the white background, are no longer available. See the original post [here][8] for color and size details.)


Designed by Purl Soho designer, [Jake Canton][9].


  [1]: https://www.purlsoho.com/join-the-classic-ribbed-hat-kal
  [2]: https://www.purlsoho.com/cashmere-merino-bloom.html
  [3]: https://www.purlsoho.com/tools/knitting-needles.html?type_filter=881
  [4]: https://www.purlsoho.com/tools/knitting-needles.html?type_filter=888
  [5]: https://www.purlsoho.com/tools/notions.html?collection_filter=964
  [6]: https://www.purlsoho.com/classic-ribbed-hat-bundle.html
  [7]: https://www.purlsoho.com/create/2023/02/03/classic-ribbed-hat-in-new-colors/
  [8]: https://www.purlsoho.com/create/2019/01/30/classic-ribbed-hat/
  [9]: http://www.jakecanton.com/",,10353,5382,4.83,"Baby (Kid, Adult Small, Adult Medium, Adult Large)",DK
1353734,Alpine Bloom Hat,Caitlin Hunter,3.37,24.0,4.0,colorwork,230.0,"The Alpine Bloom hat is designed as a companion to my [Alpine Bloom tee][2] pattern. This Scandinavian-inspired floral design is a fun and striking knit! I used sport weight yarn, but you can play with fingering and DK as well (taking gauge into account) to make this a great pattern to knit again and again. This fun colorwork hat pattern is written for both child and adult sizes. 

MATERIALS
Suggested Yarn:
MC
Moondrake Soft Sport
100% Superwash Merino wool
328 yards [300 m] - 100 g
CC
Spincycle Dyed in the Wool
100% American Wool
200 yards [183 m] per skein

Pink sample is knit in Moondrake Pink Salt and Spincycle Moonbeams.

Grey green sample is knit in Moondrake Kelp and Spincycle Nocturne- Dream On.

The black and white version is knit in [Lamb & Kid][3] Elmer Fingering in the colors Wayfairer and Cookie 2.0.

Notions: Stitch Marker, darning needle, scissors, balloon or bowl for blocking

GAUGE
24 sts and 30 rounds over 4” [10 cm] in colorwork pattern on main needle, after blocking.

Note- You should always knit your swatch the same way that the pattern is knit—in this case, in the round. Block your swatch as you will your finished garment and allow it to dry fully before measuring. 


Needles
Main: US 5 [3.75 mm] - 16” [40 cm] circular needle and preferred needles for small circumference knitting.
Ribbing: US 3 [3.25 mm]  - 16” [40 cm] circular needle 

Sizes: 
1, 2, 3: To fit child, adult S/M, adult L/XL
Circumference: 16.75, 20, 23.5"" [42.5, 49.5, 57 cm]
Height: 9"" [23 cm]

Yardage:  Please note that yardage is estimated, and can vary between knitters and yarn used.

MC: 110, 120, 130 yards [100.5, 110, 119 m] 

CC: 80, 90, 100 yards [73.5, 82.5, 91.5 m] 


  [1]: https://www.ravelry.com/patterns/library/alpine-bloom
  [2]: https://www.ravelry.com/patterns/library/alpine-bloom
  [3]: https://thelambandkid.com/products/dimond-laine-elmer-fingering-weight",5.0,1520,2364,4.84,"1, 2, 3: To fit child, adult S/M, adult L/XL Circumference: 16.75, 20, 23.5"" [42.5, 49.5, 57 cm]",Sport
528611,Classic Cuffed Hat,Purl Soho,1.87,20.0,4.0,stockinette,328.0,"MATERIALS

- Hat with Pom Pom: 1 (2, 2) skeins of Purl Soho’s Worsted Twist, 100% merino. Each skein is 164 yards/ 100 grams; approximately 164 (246, 328) yards required. (NOTE: We no longer offer Worsted Twist, but choose from one of our other [worsted/aran weight][1] yarns.)
- Hat without pom pom: 1 (1, 1) skeins of Purl Soho’s Worsted Twist, 100% merino.
- A US 5 (3.75 mm), 16-inch [circular needle][2]
- A US 7 (4.5 mm), 16-inch circular needle
- A set of US 7 [double pointed needles][3]
- [Stitch markers][4], including 1 unique
- Optional: Purl Soho [Pom Pom Maker][5] in Small + Large

Colors and Sizes (see photo of three stacks of hats)

- Baby Size, left, from top to bottom: Paprika Red, Pink Grapefruit, Ochre Yellow and Yellow Zest
- Kid Size, center, from top to bottom: Lichen Green, Green Turquoise, Pistachio Green, and Cardamom Green
- Adult Size, right, from top to bottom: Gray Fig, Green Gray, Moody Green, and Black Green

GAUGE
- Body: 20 stitches and 28 rounds = 4 inches in stockinette stitch on larger needle
- Ribbing: 24 stitches and 32 rounds = 4 inches in 1x1 rib (unstretched) on smaller needle

SIZES
Baby (Kid, Adult)
- Finished Body Circumference: 15 (17, 18 1/2) inches
- Finished Ribbing Circumference (unstretched): 12 (13, 14) inches
- Finished Height (not including pom pom): 9 ½ (11, 12 ¼) inches


  [1]: https://www.purlsoho.com/yarn.html?yarn_stitches_per_inch_filter=971
  [2]: https://www.purlsoho.com/tools/knitting-needles.html?type_filter=881
  [3]: https://www.purlsoho.com/tools/knitting-needles.html?type_filter=888
  [4]: https://www.purlsoho.com/purl/products/10-knitting-crochet-notions-tools?filters[]=879
  [5]: https://www.purlsoho.com/pom-pom-maker-set.html",,9097,5043,4.7,"Baby (Kid, Adult)",Worsted
905506,February Hat,Kate Gagnon Osborn,2.62,18.0,4.0,Textured Pattern (Chart),,"When thinking about what I wanted to do for my first contribution to the year of hats, I took a bunch of elements of knitting I really, really love - a folded brim, textured stitches, stripes, and a pom pom - and incorporated them all into the design. 

**Worthy of Note**
This hat begins with a [provisional cast on][1], then a deep folded brim is worked in a K1, P1 Ribbing. Once the ribbing is complete, the provisional cast on is unpicked and placed on a spare circular needle and the stitches are joined to created a [folded brim][2]. 

After the brim is complete, the body of the hat is worked in a texture stripe pattern from a chart. The chart is worked 4 times around. Decreases shape the crown and a pom pom completes the look.

*Please Note:* This is not a beginner pattern, but it is a great introduction to working from charts. Both the body of the hat and the crown decreases are worked from a chart. 

**Specifications
YARN**
Kelbourne Woolens Germantown (100% N. American Wool; 200 yds/100 gm skein): pebble 059, 1 skein.
**GAUGE**
18 sts + 32 rnds = 4” (10 cm) in Body Chart pattern on larger ndls, after blocking.
**NEEDLES**
1 – 16” (40 cm) US 4 (3.5 mm) circular. 
1 – 16” (40 cm) US 6 (4 mm) circular.
1 – set US 6 (4 mm) DPNs.
*Check your gauge and adjust needle size(s) accordingly if necessary.*
**NOTIONS**
Size G crochet hook, spare US 6 (4 mm) circular, waste yarn, stitch marker, tapestry needle, Kelbourne Woolens label, sewing thread, sharp sewing needle.
**SIZE**
19.5” (49.5 cm) circumference, unstretched, 9.5” (24 cm) height.
**SKILLS**
Knit, purl patterning from charts, provisional cast on.

Image: Linette Kielinski

  [1]: https://kelbournewoolens.com/tips-and-tricks/provisional-cast-on/
  [2]: https://kelbournewoolens.com/tips-and-tricks/folded-brim",,3888,3532,4.75,"19.5"" (49.5 cm) circumference, unstretched, 9.5"" (24 cm) height.",Worsted
970741,October Hat,Sloane Rosenthal,3.24,29.0,4.0,Cable Pattern,,"What’s better than a free hat pattern? 12 free hat patterns, of course! This year we’re releasing a new, free hat design on the 3rd Tuesday of each month made in Germantown.

The October Hat is worked in the round from the bottom up. The hat begins with a provisional cast on, and then a deep knit 2, purl 2 ribbing is worked. An intricate, modern cable panel pattern is worked for the body of the hat and integrated decreases shape the crown. 

**Specifications
YARN**
Kelbourne Woolens Germantown (100% N. American Wool; 220 yds/100 gm skein): oxford blue 419, 1 skein. 
**GAUGE**
1 Cable Repeat (40 sts) = 5.5” (14 cm) on larger ndls, after blocking. 
28 rnds = 4” (10 cm) in cable patt on larger ndls, after blocking. 
**NEEDLES**
1 – 16” (40 cm) US 5 (3.75 mm) circular.
1 – 16” (40 cm) US 7 (4.5 mm) circular.
1 – set US 7 (4.5 mm) DPNs.
*Check your gauge and adjust needle size(s) accordingly if necessary.*
**NOTIONS**
Darning needle, stitch marker, Kelbourne Woolens label, sewing thread, sharp sewing needle, waste yarn, crochet hook for provisional cast on.
**SIZE**
18” (46 cm), brim circumference, unstretched. 9.5” (24 cm) height, brim folded in half.
**SKILLS**
Tubular cast-on, working cables from charts, decreasing.

*errata (prior to 10/25):*
Change to larger needles after working the ribbing.

The repeat of the Round 4 crown decreases should end with a p2.
",,2801,2817,4.83,"18” (46 cm), brim circumference, unstretched. 9.5” (24 cm) height, brim folded in half.",Aran
1213476,Manhattan Hat,Tori Yu,2.33,24.0,4.0,1x1 rib,285.0,"*“an effortless ribbed hat with a touch of big city style.”*

The Manhattan Hat is named after the NYC borough that I call home. This pattern was inspired by store-bought hats that I saw on stylish people all around the city and I wanted to make my own hand-knit version. The Manhattan Hat has quickly become a staple in my wardrobe and I hope you find it to be just the same. 

The pattern includes **6 sizes** from baby to adult large as well as **3 brim options** to customize to your liking! You have a choice of **2 crown shaping options**: either Inside Out using knitwise decreases or Right Side Out using purlwise decreases. Whichever option you choose, your end result will be the same fabulous hat!

> The Manhattan Hat pattern is also
> available in [bulky weight][1] &
> [sport weight][2]! Enjoy 30% off your
> purchase of any 2 Manhattan Hat
> patterns or 40% off your purchase of
> all 3 Manhattan Hat patterns. Simply
> place the patterns in your cart & the
> discount will automatically apply.
> Enjoy!

> Looking for a matching set? The [Manhattan
> Mitts][3] and [Manhattan Cowl][4] patterns are also available!

-

**SIZES**
Baby, **Toddler**, Child (Adult S, **Adult M**, Adult L)
Finished circumference: 12”, **13.3”**, 14.7” (16”, **17.3”**, 18.7”) / 30.5, **34**, 37.3 (40.6, **44**, 47) cm
To fit a head circumference: 16”, **17.3”**, 18.7” (20”, **21.3”**, 22.7”) / 40.5, **44**, 47.3 (50.6, **54**, 57) cm with approximately 4” / 10 cm of negative ease.

**YARN** 
A worsted weight yarn in the following yardage / meterage:

Brimless: 65, **79**, 95 (105, **125**, 150) yds / 59, **72**, 87 (96, **114**, 137) m

Single Fold: 100, **125**, 150 (172, **201**, 217) yds / 91, **114**, 137 (158, **184**, 198) m

Double Fold: 125, **155**, 178 (227, **265**, 285) yds / 114, **142**, 163 (207, **242**, 261) m

*The pink sample (single fold brim) used The Wandering Flock Merino Worsted in neon pink. The grey sample (double fold brim) used La Bien Aimée Corrie Confetti in greybow. The brown sample (double fold brim) used mYak Baby Yak Medium in mustard.*

**SUGGESTED NEEDLES** 
US 5 / 3.75mm - 12-16” (30-40 cm) circular and preferred needles for small circumference knitting for crown shaping. 
Stitch markers, tapestry needle, scissors

**GAUGE**
24 sts x 28 rnds = 4” / 10 cm
Measured over 1x1 rib worked in the round after blocking. It is important to use the needle size you need to meet gauge. 


  [1]: https://www.ravelry.com/patterns/library/manhattan-hat-bulky
  [2]: https://www.ravelry.com/patterns/library/manhattan-hat-lite
  [3]: https://www.ravelry.com/patterns/library/manhattan-mitts
  [4]: https://www.ravelry.com/patterns/library/manhattan-cowl",7.0,922,636,4.82,"Baby, Toddler, Child (Adult S, Adult M, Adult L)",Worsted
1285536,My Baker's Hat,Emily Russell,1.78,20.0,4.0,stockinette,150.0,"This hat was created for my boyfriend to keep him warm on those chilly early mornings heading to the bakery. The fold-up brim is knit in 1x1 ribbing with a singular knit row to make a tidy fold, and it's finished with a beautiful square decrease. I used berroco ultra alpaca in 'tiger's eye mix' and 'moonshadow'.",,799,534,4.87,adult,Worsted
44131,Berry Baby Hat,Michele Sabatier,2.01,20.0,4.0,stockinette,100.0,"This is a very popular hat as a newborn gift, but it will serve for longer as the deep rolled bottom means the hat will stay put when stretched over a larger head.

After over 7000 Ravelry projects completed since publishing this hat in January 2008, I'm revising the pattern August 2015 as follows. 

1) The pattern is now available in the Ravelry pattern store so it's easier to get and you don't need to rely on the old PDF link from a hackable Wordpress blog.

2) There were some complaints from a few people that they couldn't get the leaves to stand up and twist, so I've made that section clearer, and tested it with someone who had never made the hat before. 

3) There's now a chart for the leaf section including the color strand section and the decreases to form the twisted leaves. There are still written instructions as well, and I think they're clearer, too.

4) General instructions for adapting for a toddler or child size are included.

5) I welcome translations (the previous pattern was translated into 5 languages) and a magic loop mod. If you'd like to share these, please message me and I'll incorporate these into the pattern on another revise.
",,10752,7191,4.62,"infant, with mods for toddler & child",Worsted
235545,Basic Baby Hat,Heather Tucker,1.58,22.0,4.0,stockinette,80.0,"This is a very basic baby hat pattern with a ribbed bottom, stockinette body and neatly decreased crown.  It is worked in the round so that it is seamless.",,8231,3289,4.65,"preemie, newborn, 12 months, toddler, teen",DK
