id,name,author,difficulty_avg,gauge,gauge_divisor,gauge_pattern,max_yardage,notes,price,projects_count,queued_projects_count,rating_avg,sizes_available,yarn_weight
518316,No-Purl Ribbed Scarf,Purl Soho,1.57,22.0,4.0,in stitch pattern,545.0,"MATERIALS
- 4 (5) skeins of Purl Soho’s Alpaca Pure, 100% alpaca. Each skein is 109 yards/ 100 grams; approximately 436 (545) yards required.

OR 

- 3(4) skeins of Worsted Twist, 100% merino wool. Each skein is 164 yards/ 100 grams; approximately 436 (545) yards required.

NOTE: Both of these yarns are no longer available; choose from one of our other [aran weight][1] yarns!

You will also need...

- US 8 (5.0 mm) straight or circular [needles][3]

GAUGE
22 stitches = 4 inches in stitch pattern

SIZES
8 ½ inches wide x 64 (80) inches long

NOTES
- Slip all slipped stitches purlwise.
- This stitch pattern is worked over a multiple of 4 + 3 stitches.


  [1]: https://www.purlsoho.com/yarn/knitting-crochet.html?yarn_stitches_per_inch_filter=971
  [2]: https://www.purlsoho.com/worsted-twist.html
  [3]: https://www.purlsoho.com/tools/knitting-needles.html",,2964,2629,4.74,8 ½ inches wide x 64 (80) inches long,Aran
1742,Noro Striped Scarf,Jared Flood,1.42,,,,,"First off, this is not MY pattern. It's been done time and time again. I've written up how I did MY version on my blog (follow the link below), but I'm not claiming to have designed this. I was urged to list it under my designs for the sake of Queuing on Ravelry.",,16032,5461,4.64,"5.5"" wide x 6 feet long",Aran
140,Irish Hiking Scarf,Adrian Bizilia,2.34,,,,,"This is a great beginner cabling pattern.

Size 8 US needles and a cable needle or one double pointed needle

Adrian says, ""Feel free to use chubbier yarn and/or larger needles to make a giant scarf. It will look just as lovely!""
",,8108,4059,4.54,"approx. 5 ½"" x 55""",Worsted
205069,Dudester Scarf,Jana Pihota,1.74,19.0,4.0,,,"My friend, Bob, always looks ultra professional and put together. I wanted to knit him a guy scarf that would be formal enough to wear with his overcoat and suits but transition to weekend wear, too.I made it extra wide so it can be worn flat or kinda scrunched up and tucked inside his coat as he said he will wear it.
 
The scarf is knit in a hurdle stitch with garter ribs which is reversible, easy to memorize and makes an interesting texture that doesn't curl.  ",,2438,2095,4.7,,Worsted
150257,Saroyan,L Abinante,2.52,16.0,4.0,stockinette,370.0,"Saroyan is the third pattern in a series inspired by the television show Bones. Previous patterns include [Traveling Woman][1] and [Temperance][2].

Dr. Camille Saroyan is intelligent, graceful, and uncompromisingly organized. The simple lace scarf would fit right at home in sleek and professional wardrobe.

Knit in one piece from start to finish, Saroyan is a perfect project for beginning lace knitters. This tapered scarf can be worn a variety of ways, and the construction helps to keep your neck nice and cozy. The lace edging used in this scarf is from a stitch dictionary titled Super Stitches Knitting. A garter stitch border rolls over nicely, so you only see the stocking stitch body and lovely lace edging. (This rolling can be prevented if desired.)

Much like Traveling Woman, this pattern is easily adjusted to your preference. Like the triangular shawl shape instead? Simply knit more repeats of the increase section, and then begin your decreases immediately. Prefer fingering weight yarn? Bust out your scale and weigh your yarn periodically.

Don't be afraid to be bold with this pattern. It can be knit in almost any yarn weight in practically any size. The increase, decrease, and straight sections are designed so that they can be easily added or subtracted to the pattern.

The worsted weight sample shown has 6 increase repeats, 10 straight repeats, and 6 decrease repeats (22 leaves total). Each repeat will give you one leaf. I had less than 5 grams of yarn left when finished.

[Click here][9] for the Double Leaf version!

---

**Translations**

* [French][3]
* [Turkish][4]
* [Portuguese][5] (Word document)
* [German][6]
* [Italian][7]

---

**Errata**

(1) For pages 3/4 (charts): Wherever it says “rhn” in the symbol descriptions, it should actually read “lhn” - this is in the description for all the bind-offs in rows 4 (left leaf) and 9 (right leaf).

(2) In the written directions, it says ""you have used 1/2 your yarn"" and instructs you to begin decreases. However, if you are following the schematic you will see that decreases begin after you have used 72.5% of your yarn. You can start decreases anywhere in the pattern, as long as you have approximately 30% of your yarn left to complete the decrease section. (if you made an extra-large increase section, you must be sure to have the same quantity of yarn remaining that you used for the increase section).

  [1]: http://www.ravelry.com/patterns/library/traveling-woman
  [2]: http://www.ravelry.com/patterns/library/temperance
  [3]: http://fantaisiesdeflo.canalblog.com/archives/2010/01/14/16515294.html
  [4]: http://stitchland.blogspot.com/2010/02/saroyan-atk.html
  [5]: http://feministy.com/wp-content/uploads/2010/02/Saroyan-portuguese.doc
  [6]: http://feministy.com/wp-content/uploads/2010/02/saroyan-DE.htm
  [7]: http://ilfilochecrea.blogspot.com/p/sciarpa-saroyan-di-liz-abinante.html
  [8]: http://feministy.com/blog/pattern-translations-traveling-woman-saroyan/
  [9]: http://www.ravelry.com/patterns/library/double-leaf-saroyan",,10936,7915,4.54,"One (12""/30cm at widest point, 69""/175cm long), with instructions for customization",Worsted
535800,Mistake Rib Scarf,Purl Soho,1.61,27.0,4.0,mistake rib,872.0,"**IN CASHMERE MERINO BLOOM**
MATERIALS
- 3 skeins of Purl Soho’s [Cashmere Merino Bloom][1], 75% extra fine merino wool and 25% cashmere. Each skein is 218 yards/ 100 grams; approximately 654 yards required. We used Dove Gray.
- US 6 (4 mm) straight or circular [needles][2]
- Note: Each skein yields approximately 20 inches of scarf, so with 4 skeins you could make an 80-inch scarf

GAUGE
27 stitches = 4 inches in pattern, unstretched

SIZE
Finished measurements (with rib unstretched): 10 inches wide x 60 inches long

**IN MULBERRY MERINO**
MATERIALS
- 4 skeins of Purl Soho’s Mulberry Merino, 80% extra fine merino and 20% mulberry silk; or approximately 872 yards of a [sport weight][3] yarn. We used the color Black Green.
- US 6 (4 mm) circular or straight [needles][4]
- Note: Each skein yields approximately 20 inches, so for a 60-inch scarf, you'd only need 3 skeins.

GAUGE
38 stitches = approximately 4 inches, rib unstretched

SIZE
Finished measurements (with rib unstretched): 7 inches x 70 Inches


  [1]: https://www.purlsoho.com/yarn/knitting-crochet/cashmere-merino-bloom.html
  [2]: https://www.purlsoho.com/tools/knitting-needles.html
  [3]: https://www.purlsoho.com/yarn/knitting-crochet.html?yarn_stitches_per_inch_filter=969
  [4]: https://www.purlsoho.com/tools/knitting-needles.html",,1525,1148,4.77,One Size  ,Sport
662669,Workday Scarf,Sue Flanders,1.77,24.0,4.0,Garter Stitch,450.0,"This project is every knitter's dream, simple to knit and beautiful to wear.  The best kind of knitting after a long day at work, garter stitch with a hint of lace.

A simple little garter stitch project that incorporates a smaller version of the lace edging used in the Workday Shawl, from the book Norwegian Handknits, by Sue Flanders and Janine Kosel. 

I completed the scarf the same day that the lilacs bloomed, so I had to add them to the photos. 
",,1346,1156,4.76,"One Size - finshed measurements; Length=60"", Width=1-1/2 to 8""",Fingering
1359227,Riptide135,Jennifer Shiels Toland,2.55,23.0,4.0,Stocking stitch,1148.0,"> **Riptide 1-3-5 Scarf & Shawl** |  **2 designs | 3 sizes | 2 languages**
> 
> See the rest of [**The Riptide Collection**][1] 


Subscribe to my **[Newsletter][2]** and receive a **10% discount** code, to be used against any of my individual designs

*RIPTIDE135 - The story:* Whilst kicking off a tennis match this summer, I tore two calf muscles leaving me on crutches for almost four weeks. Thank goodness I could knit! I’d seen so many scans and diagrams and these strips of broken and unbroken knitting were, to me, the rips in my muscles. I was going to call it “Let Rip” but the colour of this gorgeous yarn kept pulling me to the sea, and thus, it became Riptide. This shawl was pure therapy! 
The 1-3-5 refers to the different shawl options and sizes available in this pattern. There are instructions for 1, 3, or 5 skeins of yarn.

**Riptide 1 | 1 Skein | narrow scarf **
**Riptide 3 | 3 Skeins | medium sized shawl**
**Riptide 5 | 5 Skeins | large sized shawl **
Please see schematic and sizes in photo.

> The samples are knit using the
> luxurious **Crave Caravan DK** yarn by
> Yarn Culture. Check out this fabulous
> yarn [**HERE**][3].

**CONSTRUCTION:**
Riptide 1 is knit tip to tip, and Riptide 3 and 5 are each worked from the tip on the right out to the left edge, producing asymmetrical shawls. Increases are worked on the RS row throughout. The neat smooth edges envelop strips of simple increases and decreases producing a chain like textured pattern that rips through the stocking stitch - ode to my ripped muscles ;)

**YARN:**
Crave Yarn, Caravan DK, 100g (210m/ 230 yds, 70% Superwash Extrafine Merino, 10% Cashmere, 10% Camel, 10% Mulberry silk).
Riptide 5: Shawl sample colourway in Idyll.
Riptide 1: Scarf sample colourway in Meditation.

Yarn required: 
Riptide 1: 1 Skein, 100g (210m/ 230 yds) 
Riptide 3: 3 Skeins, 300g (630m/ 690 yds)
Riptide 5: 5 Skeins, 500g (1,050m/ 1,150 yds).

**NEEDLES & NOTIONS**
- Size 4.0mm / US 6 circular needle, 100 cm / 40” length (or size needed to obtain gauge) for shawl.
- Size 3.5mm / US 4 circular needle, or double pointed needle (or 0.5mm/ 2 US sizes smaller than gauge needle) for bind off for Riptide 3 & 5.
Tapestry/Darning needle, Stitch markers: 3 total. 

**GAUGE**
23 sts x 32 rows = 10cm x 10cm (4”x 4”) in stocking stitch with larger needle, after blocking.
Gauge is not crucial for this project, but it will affect meterage and final size if different.


  [1]: https://www.ravelry.com/bundles/the-riptide-collection
  [2]: http://jstknitweardesigns.com/subscribe/
  [3]: https://yarnculture.com/riptide135/",6.5,143,315,4.93,3 Sizes (see schematic in photos for details) ,DK
947400,A Good Scarf,Barbara Benson,1.74,10.0,2.0,Garter,,"Sometimes you just want something easy to knit. A pattern that is fast to memorize; a project that you can pick up and put down without fear of losing your place. Believe it or not, designing something that checks all of these boxes while at the same time yielding something that is visually enticing is a significant challenge. But I think I managed it with this scarf.

It’s one row. Seriously. Once you get that one row down you are good to go. And somehow this one row produces a scarf that is completely reversible! With a few simple stitches you can create something that is
more than the sum of its parts.

There is [A Matching Hat][2] for this piece!

I chose to knit the sample in DK weight yarn but this pattern will work equally well in Sport or Worsted weight. If you choose a different weight yarn you will need to adjust your yardage and needle size appropriately.

For Sport weight you'll need to go down a needle size and stick with 2 skeins, although you'll probably not use all the yarn. The scarf will be narrower.

For Worsted weight you'll need to go up a needle size and most likely will need 3 skeins. The scarf will be wider. 

Stitches Used: knit, purl slip, slip with yarn in front
Optional bind off uses k2tog and p2tog

If you would like to see this scarf in action and hear more about it's development [check out the video pattern tour on Watch Barbara Knit here][3].


  [1]: https://www.ravelry.com/groups/indie-design-gift-a-long
  [2]: https://www.ravelry.com/patterns/library/a-matching-hat
  [3]: https://youtu.be/Al0SAMSLq4U",6.0,374,573,4.89,6.5” X 84” (16.5 X 213 cm),DK
568452,Jasmine Scarf,Purl Soho,2.8,6.0,1.0,stockinette stitch,876.0,"For the full pattern in ENGLISH: https://www.purlsoho.com/create/2015/03/25/jasmine-scarf/

For the full pattern, kindly translated into FRENCH by a friend of The Purl Bee, click the Ravelry Download link above.

MATERIALS
- 3 (4) skeins of Purl Soho’s Flax Down, 43% baby alpaca, 42% extra fine merino, 15% linen. Each skein is 219 yards/ 100 grams; approximately 657 (876) yards required. We used the color Heirloom White and Rose Granite
- US 6 (4 mm) straight or circular [needles][1]

GAUGE
24 stitches = 4 inches in stockinette stitch

SIZES
- Finished Width: 9½ inches
- Finished Length: 60 (80) inches

NOTE
This pattern is worked over a multiple of 13 + 9 stitches, for example 13 x 5 = 65. 65 + 9 = 74.


  [1]: https://www.purlsoho.com/tools/knitting-needles.html",,1759,4310,4.6,9½ x 60 (80) inches,Worsted
996027,Anica Shawl,Alina Appasova,2.24,17.0,4.0,garter,800.0,"

***Anica*** is a fun and very easy little shawl. It is worked sideways with clever shaping which results in long narrow symmetrical tips. Mostly knit in garter stitch with pretty eyelets adorning the one side and picots the other. 

You will only need 1 skein of fingering weight yarn. Self-striping, handpainted, ombre, fade leftovers. Anything goes! 

The pattern has full written instructions.

--------------------------

***Suggested yarn:*** [Urth Uneek Fingering][1] (435 yards/ 100g) 

Earth tones: color #3019
Pinks and purples: color #3005

***Gauge*** 17 sts x 42 rows - 4” on US 6 (4 mm) needles, however, the gauge is not important for this project.

***Size:*** 70”x 16” (blocked and relaxed)

---------------------


Pattern available in two formats: compact (2 pages, 14pt) and large print (4 pages, 20 pt) - instructions in larger print format ( this version is better for those who uses portable devices like tablets and e-readers; also for those knitters who have difficulties reading small font on paper)

---------------------

use hashtag #anicashawl on Instagram


  [1]: https://www.ravelry.com/yarns/library/urth-uneek-fingering",8.0,356,518,4.87,any size,Fingering
1224962,Prismarine,Alina Appasova,2.51,23.0,4.0,in pattern,870.0,"**ERRATA for CHARTS KEY: 1st on a WS row - sl 1 knitwise wyib (not purlwise)**
=====================

----------------

Hi! I'm **Prismarine** scarf! I was named after a blue-green type of stone that appears underwater in ruins and ocean monuments in Minecraft. I have a fun and easy-going personality! You will enjoy working with me )))

**Prismarine** scarf is worked on a bias in a simple slip stitch pattern. Repeats are short and easy to memorize. You can use self-striping, ombre, gradients, mini skeins, leftovers. Size is easy to adjust in both directions.

The pattern can be worked from the written instruction or the chart.

The sample is worked using one skein of self-striping yarn Urth Uneek Fingering and one skein of solid yarn Urth Harvest Fingering. 

------------------------

**Yarn:**
* CC - [Urth Uneek Fingering][1] - 1 skein in 3012
* MC - [Urth Harvest Fingering][2] - 1 skeins in Thuja (solid_

Or any similar fingering weight yarn in 2 contrasting colors

**Needles:** US 5 (3.75 mm) 

**Notions**: darning needle

**Gauge:** unblocked - 24 sts x 50 rows= 4” in main pattern,
		    blocked -23 sts x 44 rows = 4” in main pattern

**Sizing:** 
* Cast-on edge width: 14½”/ 36.5 cm,
* Length (along selvedge edge): 75”/187 cm,
* Width: 9½”/24 cm

------------------------------
Instructions are available in two formats:

compact (3 pages, 12 pt)

large print (7 pages, 20 pt), the version with big letters for those who use portable devices like tablets and e-readers; also for those knitters who have difficulties reading small font on paper.

--------------------------------

On Instagram (find me as ***@galimka_knits***) use hashtag ***#prismarinescarf***

  [1]: https://www.ravelry.com/yarns/library/urth-uneek-fingering
  [2]: https://www.ravelry.com/yarns/library/urth-harvest-fingering",8.0,234,504,4.8,"Cast-on edge: 14½”/ 36.5 cm, Length: 75”/187 cm, Width: 9½”/24 cm",Fingering
2665,Entrelac Scarf,Allison LoCicero,3.4,,,,,"This pattern calls for 4 balls of Noro Silk Garden which produced a scarf 61 inches long and 6.5 inches wide (unblocked). Gauge is not important.

If you have questions or wish to discuss this pattern, there is an [Entrelac Scarf discussion thread][3] in the [Freckles & Purls Ravelry group][4].

>**Are you new to entrelac?** Staci Perry of [v e r y p i n k][1] created a [wonderful video tutorial][2] based on this pattern. Download the pattern and follow along with her as she teaches you every step involved in the making of this scarf!
>
>One question I get a lot is about the k2togs at the end of the wrong-side rows in the Right Side Triangle. The k2tog decrease in the pattern is the correct decrease (Staci works a p2tog in the above video). The k2tog decrease results in a kind of garter stitch edging along the side of the scarf (almost like little bumps running up the sides). Those little bumps are created in the Left Side Triangle by knitting the first stitch of all of the wrong-side (purl) rows.
>
>If you don't want the garter stitch edge you can purl the first stitch of every wrong-side row of the Left Side Triangle and then do a p2tog at the end of every wrong-side row of the Right Side Triangle.
>
>So the choice is really up to you as to which look you prefer, but once you decide on “bumps” or “no bumps”, you just need to be consistent and make that change in BOTH side triangles so that you don’t end up with bumps down one side of the scarf and no bumps down the other!



  [1]: http://verypink.com/
  [2]: http://verypink.com/2011/12/22/learn-to-knit-entrelac/
  [3]: http://www.ravelry.com/discuss/freckles--purls/topics/2708228
  [4]: http://www.ravelry.com/groups/freckles--purls",,4572,3936,4.58,one size,Aran
420424,Beginner's Stitch Sampler Scarf,Kristina Tucker,1.93,,4.0,,400.0,"This is a great scarf to learn and practice knits and purls.  The combination of stitches makes a very fun scarf!

Please feel free to use this in your shop/classes for a learn-to-knit or beginners class.  No need to ask permission! I of course just ask that you leave my information on the pattern when you use it!  

",,987,769,4.59,,Worsted
